ID,Message_Text,Type,Platform,Has_Link,Has_Urgency_Keywords,Sender,Message_Length,Num_Links,Suspicious_Keyword_Count
41,Happy Birthday! Wishing you a great year ahead.,Legit,Email,1,0,Colleague,47,0,0
42,भोलि 10 AM मा बैठक छ। ढिला नगर्नुहोस्।,Legit,WhatsApp,1,0,Colleague,38,0,0
43,बधाई छ! तपाईंले भुक्तानी जित्नुभयो। यहाँ दाबी गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Bank,80,1,2
44,"Hey, can we catch up this weekend?",Legit,WhatsApp,1,0,Service,34,0,0
45,Congratulations! You won a payment. Claim here: http://bit.ly/secure123,Phishing,Email,1,1,Bank,71,1,1
46,Immediate action required! Verify your iPhone now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Unknown,76,1,1
47,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,0,0,Colleague,47,0,0
48,Reminder: Your appointment is scheduled for तपाईंको प्याकेज,Legit,WhatsApp,0,0,Friend,59,0,0
49,Immediate action required! Verify your iPhone now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Bank,76,1,1
50,Your account has been compromised. Click payment to secure it.,Phishing,SMS,1,1,Unknown,62,0,2
51,Your password subscription is expiring. Renew now: http://fakebank.com/login,Phishing,Email,1,1,Unknown,76,1,1
52,Immediate action required! Verify your iPhone now: http://claimprize.com/win,Phishing,Email,1,1,Service,76,1,3
53,Your package will arrive on सप्ताहन्त. Track here: http://trackingservice.com/track,Legit,SMS,1,0,Colleague,83,1,0
54,Your iPhone subscription is expiring. Renew now: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Unknown,72,1,0
55,You received a payment of $account. Click http://claimprize.com/win to accept it.,Phishing,Email,1,1,Unknown,81,1,4
56,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Friend,47,0,0
57,Immediate action required! Verify your भुक्तानी now: http://claimprize.com/win,Phishing,SMS,1,1,Unknown,78,1,4
58,Congratulations! You won a भुक्तानी. Claim here: http://claimprize.com/win,Phishing,WhatsApp,1,1,Unknown,74,1,4
59,तपाईंलाई $iPhone को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://fakebank.com/login,Phishing,SMS,1,1,Unknown,97,1,1
60,Immediate action required! Verify your account now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Bank,77,1,2
61,"Hey, can we catch up this weekend?",Legit,WhatsApp,1,0,Friend,34,0,0
62,Your iPhone subscription is expiring. Renew now: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,74,1,2
63,Happy Birthday! Wishing you a great year ahead.,Legit,Email,0,0,Service,47,0,0
64,You received a payment of $iPhone. Click http://fakebank.com/login to accept it.,Phishing,Email,1,1,Bank,80,1,1
65,Congratulations! You won a भुक्तानी. Claim here: http://claimprize.com/win,Phishing,Email,1,1,Unknown,74,1,4
66,Meeting at तपाईंको प्याकेज tomorrow. Don't be late.,Legit,WhatsApp,0,0,Friend,51,0,0
67,तात्कालिक कार्य आवश्यक! आफ्नो खाता सत्यापित गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Bank,78,1,1
68,तपाईंको प्याकेज next week मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://trackingservice.com/track,Legit,SMS,1,0,Colleague,107,1,0
69,तपाईंको payment सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Bank,79,1,2
70,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् iPhone,Phishing,Email,1,1,Bank,66,0,0
71,Congratulations! You won a भुक्तानी. Claim here: http://fakebank.com/login,Phishing,Email,1,1,Bank,74,1,2
72,Reminder: Your appointment is scheduled for सप्ताहन्त,Legit,WhatsApp,0,0,Colleague,53,0,0
73,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,0,0,Colleague,47,0,0
74,Meeting at Monday tomorrow. Don't be late.,Legit,Email,0,0,Colleague,42,0,0
75,"Hey, can we catch up this weekend?",Legit,WhatsApp,1,0,Colleague,34,0,0
76,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,WhatsApp,1,0,Service,51,0,0
77,तात्कालिक कार्य आवश्यक! आफ्नो पासवर्ड सत्यापित गर्नुहोस्: http://claimprize.com/win,Phishing,Email,1,1,Bank,83,1,3
78,भोलि तपाईंको प्याकेज मा बैठक छ। ढिला नगर्नुहोस्।,Legit,Email,1,0,Colleague,48,0,0
79,"Hey, can we catch up this weekend?",Legit,Email,1,0,Service,34,0,0
80,स्मरण: तपाईंको भेटघाट next week मा तय गरिएको छ।,Legit,Email,1,0,Colleague,47,0,0
81,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,1,0,Colleague,47,0,0
82,You received a payment of $payment. Click http://claimprize.com/win to accept it.,Phishing,Email,1,1,Service,81,1,3
83,Immediate action required! Verify your iPhone now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Service,76,1,1
84,Immediate action required! Verify your खाता now: http://bit.ly/secure123,Phishing,SMS,1,1,Bank,72,1,1
85,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,1,0,Service,47,0,0
86,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् iPhone,Phishing,SMS,1,1,Bank,66,0,0
87,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,0,0,Friend,47,0,0
88,Congratulations! You won a पासवर्ड. Claim here: http://fakebank.com/login,Phishing,WhatsApp,1,1,Unknown,73,1,1
89,तपाईंलाई $account को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Unknown,98,1,4
90,You received a payment of $payment. Click http://bit.ly/secure123 to accept it.,Phishing,WhatsApp,1,1,Unknown,79,1,1
91,Congratulations! You won a password. Claim here: http://fakebank.com/login,Phishing,SMS,1,1,Service,74,1,2
92,You received a payment of $खाता. Click http://fakebank.com/login to accept it.,Phishing,WhatsApp,1,1,Bank,78,1,1
93,"Hey, can we catch up this weekend?",Legit,SMS,1,0,Friend,34,0,0
94,तपाईंको भुक्तानी सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://bit.ly/secure123,Phishing,Email,1,1,Bank,78,1,1
95,Meeting at next week tomorrow. Don't be late.,Legit,Email,0,0,Colleague,45,0,0
96,Meeting at Monday tomorrow. Don't be late.,Legit,Email,1,0,Friend,42,0,0
97,तपाईंको प्याकेज सप्ताहन्त मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://calendar.com/appointment,Legit,WhatsApp,1,0,Service,106,1,0
98,तपाईंको प्याकेज सप्ताहन्त मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://trackingservice.com/track,Legit,WhatsApp,1,0,Colleague,107,1,0
99,तात्कालिक कार्य आवश्यक! आफ्नो iPhone सत्यापित गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,82,1,3
100,तपाईंको iPhone सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://fakebank.com/login,Phishing,Email,1,1,Service,78,1,0
101,You received a payment of $पासवर्ड. Click http://bit.ly/secure123 to accept it.,Phishing,WhatsApp,1,1,Bank,79,1,1
102,स्मरण: तपाईंको भेटघाट भोलि मा तय गरिएको छ।,Legit,Email,0,0,Friend,42,0,0
103,भोलि तपाईंको प्याकेज मा बैठक छ। ढिला नगर्नुहोस्।,Legit,SMS,1,0,Colleague,48,0,0
104,Congratulations! You won a iPhone. Claim here: http://bit.ly/secure123,Phishing,Email,1,1,Unknown,70,1,1
105,Congratulations! You won a iPhone. Claim here: http://claimprize.com/win,Phishing,WhatsApp,1,1,Bank,72,1,3
106,Your account has been compromised. Click payment to secure it.,Phishing,Email,1,1,Service,62,0,2
107,भोलि your package मा बैठक छ। ढिला नगर्नुहोस्।,Legit,WhatsApp,0,0,Service,45,0,0
108,"Hey, can we catch up this weekend?",Legit,WhatsApp,0,0,Colleague,34,0,0
109,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,WhatsApp,0,0,Service,51,0,0
110,Congratulations! You won a payment. Claim here: http://fakebank.com/login,Phishing,SMS,1,1,Bank,73,1,1
111,स्मरण: तपाईंको भेटघाट Monday मा तय गरिएको छ।,Legit,Email,0,0,Colleague,44,0,0
112,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,Email,1,0,Friend,31,0,0
113,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,Email,1,0,Service,31,0,0
114,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् payment,Phishing,Email,1,1,Unknown,67,0,0
115,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् पासवर्ड,Phishing,Email,1,1,Unknown,67,0,0
116,Meeting at your package tomorrow. Don't be late.,Legit,WhatsApp,1,0,Colleague,48,0,0
117,Congratulations! You won a iPhone. Claim here: http://fakebank.com/login,Phishing,WhatsApp,1,1,Unknown,72,1,1
118,भोलि Monday मा बैठक छ। ढिला नगर्नुहोस्।,Legit,SMS,0,0,Service,39,0,0
119,तपाईंको खाता सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,SMS,1,1,Service,76,1,2
120,You received a payment of $payment. Click http://fakebank.com/login to accept it.,Phishing,Email,1,1,Bank,81,1,1
121,Reminder: Your appointment is scheduled for भोलि,Legit,Email,0,0,Colleague,48,0,0
122,तपाईंको प्याकेज Monday मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://trackingservice.com/track,Legit,WhatsApp,1,0,Friend,104,1,0
123,स्मरण: तपाईंको भेटघाट भोलि मा तय गरिएको छ।,Legit,WhatsApp,1,0,Colleague,42,0,0
124,Your iPhone subscription is expiring. Renew now: http://claimprize.com/win,Phishing,Email,1,1,Bank,74,1,2
125,Your account has been compromised. Click account to secure it.,Phishing,WhatsApp,1,1,Unknown,62,0,3
126,तपाईंको पासवर्ड सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,79,1,2
127,Congratulations! You won a पासवर्ड. Claim here: http://bit.ly/secure123,Phishing,SMS,1,1,Service,71,1,1
128,Congratulations! You won a payment. Claim here: http://bit.ly/secure123,Phishing,Email,1,1,Service,71,1,1
129,Reminder: Your appointment is scheduled for your package,Legit,SMS,1,0,Service,56,0,0
130,Reminder: Your appointment is scheduled for next week,Legit,Email,1,0,Colleague,53,0,0
131,Reminder: Your appointment is scheduled for सप्ताहन्त,Legit,WhatsApp,1,0,Friend,53,0,0
132,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,SMS,1,0,Colleague,51,0,0
133,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,Email,1,0,Service,51,0,0
134,Congratulations! You won a iPhone. Claim here: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,72,1,3
135,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,SMS,1,0,Friend,31,0,0
136,"Hey, can we catch up this weekend?",Legit,SMS,1,0,Service,34,0,0
137,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,SMS,1,0,Friend,31,0,0
138,Immediate action required! Verify your payment now: http://claimprize.com/win,Phishing,SMS,1,1,Bank,77,1,3
139,तपाईंको प्याकेज your package मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: http://trackingservice.com/track,Legit,WhatsApp,1,0,Colleague,110,1,0
140,Congratulations! You won a पासवर्ड. Claim here: http://fakebank.com/login,Phishing,SMS,1,1,Service,73,1,1
141,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् खाता,Phishing,SMS,1,1,Service,64,0,0
142,"Hey, can we catch up this weekend?",Legit,Email,0,0,Service,34,0,0
143,Reminder: Your appointment is scheduled for सप्ताहन्त,Legit,Email,1,0,Colleague,53,0,0
144,Your account subscription is expiring. Renew now: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Bank,73,1,1
145,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् payment,Phishing,SMS,1,1,Bank,67,0,0
146,तपाईंलाई $password को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://bit.ly/secure123,Phishing,SMS,1,1,Bank,97,1,2
147,Congratulations! You won a password. Claim here: http://bit.ly/secure123,Phishing,SMS,1,1,Unknown,72,1,2
148,Congratulations! You won a पासवर्ड. Claim here: http://claimprize.com/win,Phishing,Email,1,1,Service,73,1,3
149,Reminder: Your appointment is scheduled for 10 AM,Legit,Email,1,0,Service,49,0,0
150,You received a payment of $payment. Click http://bit.ly/secure123 to accept it.,Phishing,SMS,1,1,Unknown,79,1,1
151,भोलि next week मा बैठक छ। ढिला नगर्नुहोस्।,Legit,Email,1,0,Service,42,0,0
152,बधाई छ! तपाईंले payment जित्नुभयो। यहाँ दाबी गर्नुहोस्: http://fakebank.com/login,Phishing,Email,1,1,Unknown,81,1,1
153,You received a payment of $payment. Click http://fakebank.com/login to accept it.,Phishing,SMS,1,1,Bank,81,1,1
154,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् भुक्तानी,Phishing,Email,1,1,Bank,68,0,1
155,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् payment,Phishing,WhatsApp,1,1,Bank,67,0,0
156,Meeting at your package tomorrow. Don't be late.,Legit,SMS,1,0,Friend,48,0,0
157,स्मरण: तपाईंको भेटघाट भोलि मा तय गरिएको छ।,Legit,WhatsApp,1,0,Colleague,42,0,0
158,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,WhatsApp,1,0,Friend,31,0,0
159,तपाईंको खाता जोखिममा छ। यसलाई सुरक्षित गर्न क्लिक गर्नुहोस् भुक्तानी,Phishing,Email,1,1,Unknown,68,0,1
160,Your package will arrive on तपाईंको प्याकेज. Track here: http://trackingservice.com/track,Legit,Email,1,0,Colleague,89,1,0
161,तपाईंको iPhone सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,78,1,2
162,Congratulations! You won a iPhone. Claim here: http://fakebank.com/login,Phishing,Email,1,1,Unknown,72,1,1
163,Congratulations! You won a iPhone. Claim here: http://claimprize.com/win,Phishing,WhatsApp,1,1,Unknown,72,1,3
164,Your package will arrive on सप्ताहन्त. Track here: ,Legit,WhatsApp,0,0,Colleague,51,0,0
165,Reminder: Your appointment is scheduled for next week,Legit,WhatsApp,1,0,Service,53,0,0
166,Your account has been compromised. Click पासवर्ड to secure it.,Phishing,SMS,1,1,Unknown,62,0,2
167,Congratulations! You won a payment. Claim here: http://claimprize.com/win,Phishing,SMS,1,1,Bank,73,1,3
168,Reminder: Your appointment is scheduled for तपाईंको प्याकेज,Legit,Email,1,0,Service,59,0,0
169,Reminder: Your appointment is scheduled for your package,Legit,WhatsApp,1,0,Friend,56,0,0
170,Your खाता subscription is expiring. Renew now: http://bit.ly/secure123,Phishing,Email,1,1,Bank,70,1,0
171,Your package will arrive on सप्ताहन्त. Track here: ,Legit,WhatsApp,0,0,Colleague,51,0,0
172,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,0,0,Service,47,0,0
173,Meeting at Monday tomorrow. Don't be late.,Legit,SMS,1,0,Service,42,0,0
174,तपाईंलाई $भुक्तानी को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://fakebank.com/login,Phishing,Email,1,1,Unknown,99,1,2
175,Immediate action required! Verify your iPhone now: http://claimprize.com/win,Phishing,Email,1,1,Bank,76,1,3
176,Meeting at भोलि tomorrow. Don't be late.,Legit,Email,1,0,Colleague,40,0,0
177,Meeting at Monday tomorrow. Don't be late.,Legit,SMS,0,0,Colleague,42,0,0
178,Your पासवर्ड subscription is expiring. Renew now: http://bit.ly/secure123,Phishing,SMS,1,1,Service,73,1,0
179,Immediate action required! Verify your खाता now: http://claimprize.com/win,Phishing,Email,1,1,Bank,74,1,3
180,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Service,47,0,0
181,तपाईंको payment सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://fakebank.com/login,Phishing,SMS,1,1,Service,79,1,0
182,"Hey, can we catch up this weekend?",Legit,WhatsApp,1,0,Friend,34,0,0
183,Your account has been compromised. Click iPhone to secure it.,Phishing,WhatsApp,1,1,Service,61,0,2
184,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Friend,47,0,0
185,You received a payment of $खाता. Click http://claimprize.com/win to accept it.,Phishing,SMS,1,1,Bank,78,1,3
186,Meeting at 10 AM tomorrow. Don't be late.,Legit,Email,1,0,Colleague,41,0,0
187,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,1,0,Colleague,47,0,0
188,Your account has been compromised. Click खाता to secure it.,Phishing,WhatsApp,1,1,Bank,59,0,2
189,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Service,47,0,0
190,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,1,0,Colleague,47,0,0
191,Your package will arrive on तपाईंको प्याकेज. Track here: ,Legit,SMS,0,0,Friend,57,0,0
192,Meeting at Monday tomorrow. Don't be late.,Legit,SMS,0,0,Service,42,0,0
193,तपाईंको प्याकेज तपाईंको प्याकेज मा आइपुग्नेछ। ट्र्याक गर्न यहाँ क्लिक गर्नुहोस्: ,Legit,SMS,0,0,Colleague,81,0,0
194,Your account has been compromised. Click password to secure it.,Phishing,SMS,1,1,Bank,63,0,3
195,Happy Birthday! Wishing you a great year ahead.,Legit,Email,1,0,Friend,47,0,0
196,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,Email,0,0,Service,51,0,0
197,Immediate action required! Verify your iPhone now: http://claimprize.com/win,Phishing,Email,1,1,Bank,76,1,3
198,Reminder: Your appointment is scheduled for तपाईंको प्याकेज,Legit,SMS,0,0,Service,59,0,0
199,Reminder: Your appointment is scheduled for तपाईंको प्याकेज,Legit,Email,1,0,Service,59,0,0
200,Your पासवर्ड subscription is expiring. Renew now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Bank,75,1,0
201,Immediate action required! Verify your payment now: http://bit.ly/secure123,Phishing,Email,1,1,Unknown,75,1,1
202,Your पासवर्ड subscription is expiring. Renew now: http://bit.ly/secure123,Phishing,Email,1,1,Bank,73,1,0
203,तात्कालिक कार्य आवश्यक! आफ्नो password सत्यापित गर्नुहोस्: http://fakebank.com/login,Phishing,WhatsApp,1,1,Service,84,1,2
204,Immediate action required! Verify your iPhone now: http://fakebank.com/login,Phishing,WhatsApp,1,1,Bank,76,1,1
205,Your package will arrive on next week. Track here: http://trackingservice.com/track,Legit,WhatsApp,1,0,Service,83,1,0
206,Your package will arrive on Monday. Track here: ,Legit,SMS,0,0,Friend,48,0,0
207,तपाईंलाई $password को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://claimprize.com/win,Phishing,SMS,1,1,Unknown,99,1,4
208,तपाईंको password सदस्यता सकिँदैछ। अब नवीकरण गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Service,80,1,3
209,Happy Birthday! Wishing you a great year ahead.,Legit,Email,1,0,Friend,47,0,0
210,Immediate action required! Verify your भुक्तानी now: http://claimprize.com/win,Phishing,Email,1,1,Unknown,78,1,4
211,Congratulations! You won a password. Claim here: http://claimprize.com/win,Phishing,SMS,1,1,Unknown,74,1,4
212,"Hey, can we catch up this weekend?",Legit,WhatsApp,0,0,Friend,34,0,0
213,तपाईंलाई $payment को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://claimprize.com/win,Phishing,WhatsApp,1,1,Bank,98,1,3
214,Congratulations! You won a पासवर्ड. Claim here: http://bit.ly/secure123,Phishing,Email,1,1,Unknown,71,1,1
215,Happy Birthday! Wishing you a great year ahead.,Legit,Email,1,0,Service,47,0,0
216,हामी यस सप्ताहन्त भेट्न सक्छौं?,Legit,SMS,1,0,Service,31,0,0
217,You received a payment of $पासवर्ड. Click http://claimprize.com/win to accept it.,Phishing,WhatsApp,1,1,Service,81,1,3
218,Happy Birthday! Wishing you a great year ahead.,Legit,Email,0,0,Colleague,47,0,0
219,Happy Birthday! Wishing you a great year ahead.,Legit,WhatsApp,1,0,Service,47,0,0
220,Meeting at Monday tomorrow. Don't be late.,Legit,SMS,1,0,Friend,42,0,0
221,Happy Birthday! Wishing you a great year ahead.,Legit,Email,0,0,Friend,47,0,0
222,Immediate action required! Verify your खाता now: http://claimprize.com/win,Phishing,Email,1,1,Unknown,74,1,3
223,Congratulations! You won a iPhone. Claim here: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Unknown,70,1,1
224,Your package will arrive on भोलि. Track here: http://trackingservice.com/track,Legit,WhatsApp,1,0,Colleague,78,1,0
225,Your account has been compromised. Click account to secure it.,Phishing,WhatsApp,1,1,Unknown,62,0,3
226,Your package will arrive on next week. Track here: http://trackingservice.com/track,Legit,SMS,1,0,Service,83,1,0
227,तपाईंलाई $iPhone को भुक्तानी प्राप्त भयो। स्वीकार गर्न क्लिक गर्नुहोस्: http://bit.ly/secure123,Phishing,Email,1,1,Service,95,1,1
228,You received a payment of $password. Click http://fakebank.com/login to accept it.,Phishing,Email,1,1,Service,82,1,2
229,Reminder: Your appointment is scheduled for your package,Legit,SMS,1,0,Service,56,0,0
230,तात्कालिक कार्य आवश्यक! आफ्नो iPhone सत्यापित गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Unknown,80,1,1
231,Happy Birthday! Wishing you a great year ahead.,Legit,SMS,0,0,Colleague,47,0,0
232,जन्मदिनको शुभकामना! तपाईंलाई उत्कृष्ट वर्षको कामना।,Legit,WhatsApp,0,0,Service,51,0,0
233,Reminder: Your appointment is scheduled for Monday,Legit,WhatsApp,1,0,Colleague,50,0,0
234,"Hey, can we catch up this weekend?",Legit,WhatsApp,1,0,Service,34,0,0
235,Reminder: Your appointment is scheduled for तपाईंको प्याकेज,Legit,WhatsApp,0,0,Friend,59,0,0
236,Your account has been compromised. Click payment to secure it.,Phishing,WhatsApp,1,1,Unknown,62,0,2
237,बधाई छ! तपाईंले password जित्नुभयो। यहाँ दाबी गर्नुहोस्: http://bit.ly/secure123,Phishing,WhatsApp,1,1,Bank,80,1,2
238,Happy Birthday! Wishing you a great year ahead.,Legit,Email,0,0,Colleague,47,0,0
239,Your account has been compromised. Click iPhone to secure it.,Phishing,Email,1,1,Service,61,0,2
